,round_epochs,loss,val_loss,nr_layers,hidden_layer_size,activation,dropout,lr,average_train_loss,average_test_loss
124,100,19.84152955888476,18.582944031042206,4,64,ReLU(),0.1,0.001,21.666280867877244,20.42732910662449
85,100,21.05060287613948,19.32781579637306,3,128,ReLU(),0.05,0.001,22.637603034021854,21.098696439943975
130,100,21.610919968530443,19.938588090842018,4,64,LeakyReLU(negative_slope=0.01),0.1,0.001,23.18767799149755,21.480277099443423
139,100,22.195407962267552,21.02116195832102,4,128,LeakyReLU(negative_slope=0.01),0.05,0.001,23.892131102292293,22.27314455522667
88,100,23.27657619003616,21.3916895215598,3,128,ReLU(),0.1,0.001,24.62382803761765,22.625311234733136
73,100,24.041087073316422,22.89305644961894,3,64,ReLU(),0.05,0.001,25.51094728642295,23.78368766846772
10,100,23.481611175297388,22.283358856107103,2,16,LeakyReLU(negative_slope=0.01),0.1,0.001,25.738959498921744,24.352067891296212
106,100,23.414925759126472,23.24307940191802,4,16,LeakyReLU(negative_slope=0.01),0.1,0.001,25.069149360613487,24.649601838152577
55,100,24.78498372411976,24.17882124858912,3,16,LeakyReLU(negative_slope=0.01),0.05,0.001,26.412785588523434,25.05618949259466
64,100,26.847270000519117,24.476801220934487,3,32,ReLU(),0.1,0.001,27.702978131834087,25.65593054164382
70,100,27.664362239081733,26.0165313151291,3,32,LeakyReLU(negative_slope=0.01),0.1,0.001,29.178576920329323,27.267663344601168
22,100,27.678498521111184,25.941345121334475,2,32,LeakyReLU(negative_slope=0.01),0.1,0.001,29.379035081837145,27.30459457813914
28,100,28.421423871709795,26.61289565623825,2,64,ReLU(),0.1,0.001,29.603313646819664,27.910515588215162
115,100,26.87414833514335,26.81362736112133,4,32,LeakyReLU(negative_slope=0.01),0.05,0.001,28.850729487335474,27.996180451531632
46,100,32.18503483281858,29.580980804532725,2,128,LeakyReLU(negative_slope=0.01),0.1,0.001,33.33707971010108,31.275918955256394
19,100,32.83463689294202,31.023149014501016,2,32,LeakyReLU(negative_slope=0.01),0.05,0.001,33.71934151127596,31.421116715310518
4,100,32.485038452387585,31.345280936177804,2,16,ReLU(),0.1,0.001,33.478224383661384,31.43360610223904
